ep,accuracy
0,0.140625
1,0.578125
2,0.578125
3,0.578125
4,0.609375
5,0.671875
6,0.671875
7,0.671875
8,0.6875
9,0.65625
10,0.59375
11,0.625
12,0.703125
13,0.109375
14,0.15625
15,0.28125
16,0.78125
17,0.84375
18,0.859375
19,0.875
20,0.609375
21,0.203125
22,0.34375
23,0.546875
24,0.578125
25,0.703125
26,0.640625
27,0.671875
28,0.984375
29,0.84375
30,0.828125
31,0.859375
32,0.90625
33,0.96875
34,0.96875
35,0.96875
36,0.890625
37,0.65625
38,0.59375
39,0.515625
40,0.78125
41,0.953125
42,0.984375
43,0.96875
44,0.96875
45,1.0
46,1.0
47,0.921875
48,0.984375
49,0.875
50,0.984375
51,0.984375
52,0.984375
53,1.0
54,1.0
55,0.78125
56,0.890625
57,0.9375
58,0.984375
59,1.0
60,0.9375
61,0.984375
62,0.984375
63,1.0
64,1.0
65,1.0
66,0.984375
67,1.0
68,1.0
69,0.984375
70,1.0
71,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,1.0
82,1.0
83,1.0
84,1.0
85,1.0
86,1.0
87,1.0
88,1.0
89,1.0
90,0.96875
91,0.84375
92,0.90625
93,0.984375
94,1.0
95,1.0
96,1.0
97,1.0
98,1.0
99,1.0
100,1.0
