ep,accuracy
0,0.140625
1,0.265625
2,0.171875
3,0.203125
4,0.515625
5,0.1875
6,0.328125
7,0.28125
8,0.28125
9,0.421875
10,0.25
11,0.3125
12,0.328125
13,0.546875
14,0.1875
15,0.171875
16,0.3125
17,0.21875
18,0.265625
19,0.625
20,0.375
21,0.46875
22,0.453125
23,0.375
24,0.390625
25,0.421875
26,0.296875
27,0.453125
28,0.4375
29,0.34375
30,0.28125
31,0.34375
32,0.3125
33,0.34375
34,0.53125
35,0.59375
36,0.390625
37,0.40625
38,0.53125
39,0.375
40,0.375
41,0.59375
42,0.59375
43,0.65625
44,0.671875
45,0.6875
46,0.6875
47,0.703125
48,0.75
49,0.6875
50,0.640625
51,0.75
52,0.703125
53,0.703125
54,0.421875
55,0.390625
56,0.6875
57,0.765625
58,0.859375
59,0.78125
60,0.640625
61,0.84375
62,0.796875
63,0.703125
64,0.546875
65,0.84375
66,0.75
67,0.8125
68,0.59375
69,0.828125
70,0.875
71,0.859375
72,0.875
73,0.859375
74,0.796875
75,0.734375
76,0.875
77,0.8125
78,0.734375
79,0.84375
80,0.875
81,0.875
82,0.734375
83,0.796875
84,0.484375
85,0.8125
86,0.6875
87,0.671875
88,0.71875
89,0.609375
90,0.703125
91,0.5625
92,0.71875
93,0.6875
94,0.640625
95,0.71875
96,0.765625
97,0.765625
98,0.734375
99,0.59375
100,0.71875
